CARN� DE IDENTIDAD,Producto,Raci�n media Kcal,Vitamina A g,Fibra g,Calcio g,Hierro g
1,Brocoli,34,623,2.6,47,0.73
2,Cebolla,40,2,9.3,23,0.21
3,Esparrago,20,756,3.9,24,2.14
4,Lechuga,13,3312,2.2,35,1.24
5,Nopal,16,457,3.3,164,0.59
6,Fresa,32,12,7.7,16,0.41
7,Ciruela,41,914,11,7,0.16
8,Manzana,52,54,13.8,6,0.12
9,kiwi,61,87,14.7,34,0.31
10,Mango,60,1082,15,11,0.16
11,Atun,130,65,0,4,0.92
12,Camaron,85,0,0,64,0.52
13,Tocino,407,0,0.8,4,0.42
14,Carne de cerdo,898,37,0,1,0.13
15,Pavo,208,0,0,26,1.79
16,Ala de Pollo,211,58,3.3,28,2.41
17,Alubias,155,0,21.6,61,1.99
18,Frijoles,71,150,13.3,28,1.61
19,Garbanzo,378,67,63,57,4.31
20,Lentejas,352,39,10.7,35,6.51
21,Soja,173,9,9.9,102,5.14
22,Carne Molida,295,0,0,11,2.42
23,Costilla de res,240,5,0,11,2.37
24,Carne de lomo,211,22,0,13,3.24
25,Chuleta de res,234,6,0,7,2.47
26,Molleja de pollo,94,64,0,11,2.49
27,Crema,257,685,12.5,101,0.05
28,dulce de leche,315,261,55.4,251,0.17
29,Huevo,185,674,1.5,64,3.85
30,Leche,64,138,4.7,119,0.05
31,Avena,379,0,67.7,52,4.25
32,Arroz inlfado,402,0,89.8,6,31.7
33,Cebada,354,22,73.5,33,3.6
34,Spagueti,100,264,11.5,29,1.03
35,Maiz,365,214,74.3,7,2.71
36,Trigo,329,9,69,25,3.6
37,Aceite de maiz,900,0,0,0,0
38,Mantequilla,717,2599,0.1,24,0.02
39,Mayonesa,361,70,0,0,0
40,Margarina,628,3571,1.5,7,0.12
41,Chorizo,455,0,1.9,8,1.59
42,Agua,1,0,0.1,1,4
43,Naranjada,49,8,12.3,5,0.04
44,Toro rojo,45,0,210.9,13,0.02
45,Limonada,380,0,97.9,11,0.17
46,Aceitunas,145,392.3333333,3.8,52,0.49
47,Aguacates,160,15,8.5,12,0.55
48,Albaricoques,48,1923.333333,11.1,13,0.39
49,Arandanos,57,5.4,14.5,6,0.28
50,Cerezas,333,2826.666667,80.5,38,0.68
51,Datiles,282,1,75,39,1.02
52,Frambuesas,52,3.3,11.9,25,0.69
53,Grosellas,63,23,15.4,55,1.54
54,Guayabas,68,623.3333333,14.3,18,0.26
55,Guindas,50,1283,12.2,16,0.32
56,Higos,74,14,19.2,35,0.37
57,Lichis,66,0,16.5,5,0.31
58,Limas,30,5,10.5,33,0.6
59,Limones,29,2.2,9.3,26,0.6
60,Melocotones,39,32.33333333,9.5,6,0.25
61,Melones,34,3380,8.2,9,0.21
62,Moras,43,21.4,9.6,29,0.62
63,Naranjas,47,22.5,11.8,40,0.1
64,Mandarinas,53,681,13.3,37,0.15
65,Acelgas,19,6113.333333,3.7,51,1.8
66,Apio,16,446.6666667,3,40,0.2
67,Berenjena,25,2.3,5.9,9,0.23
68,Calabaza,26,8510,6.5,21,0.8
69,Champi�ones,22,0,3.3,3,0.5
70,chiles jalape�os,27,1700,4.7,23,1.88
71,Col,32,5016.666667,5.4,232,0.47
72,Coliflor,25,0,5,22,0.42
73,Colinabo,37,0.2,8.6,43,0.44
74,Chicharos,68,865,11.4,23,1.18
75,Habichuelas,333,0,60,143,8.2
76,Judias verdes,343,0.8,64.1,186,3.4
77,Atun,144,2183,0,8,1.2
78,Bacalao,82,4,0,16,0.38
79,Calamar,92,3.3,3.1,32,0.68
80,Cangrejo,77,5.3,0,27,0.84
81,Queso,353,721,2.3,528,0.31
82,Queso Cottage,98,140,3.4,830,0.07
83,Yema de huevo,322,1442,3.6,129,2.73
84,Yogurt,86,43,13.8,171,0.07
85,Carne de cabra,109,0,0,13,2.83
86,Carne de venado,120,0,0,5,3.4
87,Lomo de cerdo,172,11,0,26,0.84
88,Chorizo de cerdo,455,0,1.9,8,1.59
89,Mortadela,311,0,3.1,18,1.4
90,Pechuga de pollo,80,0,2.3,4,0.3
91,Salami,396,12,15.4,94,1.55
92,Pepperoni,494,0,0,22,1.62
93,Salchicha,305,58,1.7,11,1.15
94,Albahaca,23,5266.666667,2.7,177,3.17
95,Canela,247,295,80.6,1200,8.32
96,Jenjibre molido,335,30,71.6,114,19.8
97,Mejorana,271,8066.666667,60.6,1900,82.7
98,Nuez moscada,525,102,49.3,184,3.04
99,Menta verde,44,4053.333333,8.4,199,11.87
100,Romero fresco,131,2924,20.7,317,6.65
