,Edad,Raci�n media Kcal/d�a,Vitamina A g/d�a,Fibra g/d�a,Calcio g/d�a,Hierro g/d�a
Lactantes menores,0-0.5,650 Kcal,6666.66666666667 UI,,200 mg,0.27 mg
Lactantes mayores,0.5-1,850 Kcal,6666.66666666667 UI,,260 mg,1.1 mg
Ni�os peque�os,1-3,1300 Kcal,6666.66666666667 UI,,700 mg,7 mg
Ni�os medianos,4-6,1800  Kcal,10000 UI,,1000 mg,10 mg
Ni�os grandes,7-10,2000 Kcal,18890 UI,27 g,1300 mg,8 mg
Adultos A,11-14,2500 Kcal,18890 UI,27 g,1300 mg,11 mg
Adultos B,15-18,3000 Kcal,31110 UI,27 g,1300 mg,11 mg
Adultos C,19-24,2900 Kcal,33333.3333333333 UI,27 g,1000 mg,8 mg
Adultos D,25-50,2900 Kcal,33333.3333333333 UI,27 g,1000 mg,8 mg
Adultos E,>51,2300 Kcal,33333.3333333333 UI,27 g,1000 mg,8 mg
Mujeres A,11-14,2200 Kcal,18890 UI,27 g,1300 mg,11 mg
Mujeres B,15-18,2200 Kcal,31110 UI,27 g,1300 mg,15 mg
Mujeres C,19-24,2200 Kcal,33333.3333333333 UI,27 g,1000 mg,18 mg
Mujeres D,25-50,2200 Kcal,33333.3333333333 UI,27 g,1000 mg,18 mg
Mujeres E,>51,1900 Kcal,33333.3333333333 UI,27 g,1200 mg,8 mg
Embarazo,,+300 Kcal,,,1300 mg,
Lactancia,,+300 Kcal,,,1300 mg,
